record_id,amount_instance_id,source_letter_id,episode_group,borrower,lender,mechanism_type,stress_intensity_score,stress_intensity_class,amount_role,amount_original,normalized_amount_hs,include_in_scale_strict,include_in_scale_candidate,normalization_certainty,exclusion_reason
ATT-PILOT-0030,ATT-PILOT-0030-AMT-03,Att. 16.2,Att. 16.6 Cluvian-Publilius-Terentia cluster,Cicero,Publilius,repayment pressure,2,moderate_pressure,debt_principal,reliqua rescribamus,200000,no,yes,latin_roman_hs_reviewed_inferred_balance,confidence=medium
ATT-PILOT-0031,ATT-PILOT-0031-AMT-01,Att. 6.1,Philotimus/Philogenes accounts,Philotimus,Cicero,account/nomina,3,moderate_pressure,debt_principal,HS XXDC,20600000,no,no,visual_loeb_page_reviewed,confidence=medium; scope_type=public
ATT-PILOT-0034,ATT-PILOT-0034-AMT-01,Att. 11.1,Other/private credit,Cicero,,account/nomina,1,indirect_liquidity_management,account_debt,ad sestertium bis et viciens,2200000,no,yes,explicit_sestertium_phrase,confidence=medium
SEC-STAGED-0020,SEC-STAGED-0020-AMT-01,Att. 5.21,Other/private credit,Salamis,Brutus through Scaptius and Matinius,account/nomina,3,moderate_pressure,talent_claim,106 acknowledged,,no,no,ancient_unit_not_converted,no HS normalization; scope_type=public; amount_role=talent_claim
SEC-STAGED-0020,SEC-STAGED-0020-AMT-02,Att. 5.21,Other/private credit,Salamis,Brutus through Scaptius and Matinius,account/nomina,3,moderate_pressure,talent_claim,200 sought,,no,no,ancient_unit_not_converted,no HS normalization; scope_type=public; amount_role=talent_claim
SEC-STAGED-0036,SEC-STAGED-0036-AMT-01,,Other/private credit,Marc Antony,Antony creditors,surety,1,indirect_liquidity_management,surety_amount,sestertium sexagiens,6000000,no,no,latin_multiplier_sestertium_reviewed,scope_type=comparative
SEC-STAGED-0045,SEC-STAGED-0045-AMT-01,Att. 15.21,Quintus debt thread,Quintus Cicero,Atticus,repayment pressure,3,moderate_pressure,debt_principal,c_c_c_c_,400000,no,no,explicit_roman_hs,scope_type=political
SEC-STAGED-0055,SEC-STAGED-0055-AMT-01,Fam. 13.61,Silius/Faberius garden-finance thread,Nicaea,young T. Pinnius,repayment pressure,3,moderate_pressure,debt_principal,ad sestertium octogies,8000000,no,no,explicit_sestertium_phrase,scope_type=public
SEC-STAGED-0072,SEC-STAGED-0072-AMT-01,Att. 15.15; Att. 15.17; Att. 15.20,Other/private credit,Cicero,Arpinum,account/nomina,1,indirect_liquidity_management,debt_principal,HS C_X_,100000,no,no,explicit_roman_hs,scope_type=public
SEC-STAGED-0088,SEC-STAGED-0088-AMT-01,,Other/private credit,P. Iunius,Roman state,surety,1,indirect_liquidity_management,prior_value,HS quadraginta milium,40000,no,no,latin_numeric_phrase_reviewed,scope_type=comparative; amount_role=prior_value
SEC-STAGED-0088,SEC-STAGED-0088-AMT-02,,Other/private credit,P. Iunius,Roman state,surety,1,indirect_liquidity_management,settlement,HS ducentis milibus,200000,no,no,latin_numeric_phrase_reviewed,scope_type=comparative; amount_role=settlement
SEC-STAGED-0088,SEC-STAGED-0088-AMT-03,,Other/private credit,P. Iunius,Roman state,surety,1,indirect_liquidity_management,contract_total,560000 contract,560000,no,no,latin_amount_note_reviewed,scope_type=comparative; amount_role=contract_total
SEC-STAGED-0088,SEC-STAGED-0088-AMT-04,,Other/private credit,P. Iunius,Roman state,surety,1,indirect_liquidity_management,remitted_credit,110000 remitted,110000,no,no,latin_amount_note_reviewed,scope_type=comparative
SEC-STAGED-0089,SEC-STAGED-0089-AMT-01,,Caelius/Caesar obligation,Caesar,,surety,1,indirect_liquidity_management,talent_claim,830,,no,no,ancient_unit_not_converted,no HS normalization; scope_type=comparative; amount_role=talent_claim
SEC-STAGED-0096,SEC-STAGED-0096-AMT-01,,Other/private credit,Q. Caecilius Dio,unknown lender,account/nomina,1,indirect_liquidity_management,account_debt,HS deciens centena milia,1000000,no,no,explicit_sestertium_phrase,scope_type=comparative
SEC-STAGED-0097,SEC-STAGED-0097-AMT-01,,Other/private credit,borrowers under Verres' scheme,L. Carpinatius / Sicilian tax company,political/civic finance,1,indirect_liquidity_management,loan_principal,prope centiens et viciens,12000000,no,no,explicit_sestertium_phrase,scope_type=comparative
