chain_id,record_id,source_letter_id,episode_group,year_bce,borrower_or_stressed_actor,creditor_or_pressure_source,intermediaries,mechanism_type,stress_intensity_score,stress_intensity_class,fallback_types,status,latin_evidence,stress_rationale
O4-CHAIN-004,ATT-PILOT-0016,Att. 16.3,Dolabella debt/account thread,44,Cicero (1),Dolabella (1),Balbus (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,unclear,Dolabellae nomen in iis est et in attributione mihi nomina ignota,account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-004,ATT-PILOT-0028,Att. 14.18-14.20,Dolabella debt/account thread,44,Dolabella (1),Cicero (1),Faberius (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation,overdue,"Kal. Ian. debuit, adhuc non solvit; si mihi quod debuit dissolverit; modo numeret Idibus",repayment-pressure signal; third-party/context dependency
O4-CHAIN-004,ATT-PILOT-0037,Att. 16.15,Dolabella debt/account thread,44,Dolabella (1),Cicero (1),Atticus (1),refinancing/versura,5,high_refinancing_or_repayment_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; new_borrowing_or_versura; surety_or_security,disputed,"de summa autem agi prorsus vehementer et severe volo... sponsores appellemus, procuratorem introducere... quod satis dato debeat procuratores eius non dissolvere",refinancing/versura signal; repayment-pressure signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-005,SEC-STAGED-0077,Att. 11.7,Other/private credit: Att. 11.7,48,Cicero (1),Tullia's creditors (1),Atticus (1); Tullia (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,unclear,"...levius dolerem. [2] 'crede' inquis 'mihi.' credo equidem sed scio quam cupias minui dolorem meum. me discessisse ab armis numquam paenituit. tanta erat in illis crudelitas, tanta cum barbaris gentibus coniunctio ut non nominatim sed generatim proscriptio esset informata, ut iam omnium iudicio constitutum esset omnium vestrum bona praedam esse illius victoriae. 'vestrum' plane dico; numquam enim de te ipso nisi crudelissime cogitatum est. qua re voluntatis me meae numquam paenitebit, consili paenitet. in oppido ali...",repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-006,SEC-STAGED-0038,Att. 12.18,Other/private credit: Att. 12.18,45,Scribonius Libo (1),Cicero (1),Egnatius (1),surety,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; surety_or_security,disputed,"Cocceius vide ne frustretur. nam Libo quod pollicetur, ut Eros scribit, non incertum puto. de sorte mea Sulpicio confido et Egnatio scilicet.",repayment-pressure signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-007,ATT-PILOT-0019,Att. 5.15,Other/private credit: Att. 5.15,51,Cicero (1),Atticus (1),,refinancing/versura,3,moderate_pressure,new_borrowing_or_versura,unclear,ut verear ne illud quod tecum permutavi versura mihi solvendum sit,refinancing/versura signal
O4-CHAIN-008,SEC-STAGED-0020,Att. 5.21; Att. 6.1,Other/private credit: Att. 5.21; Att. 6.1,50,Salamis (1),Brutus (1),Appius Claudius (1); Cicero (1); Matinius (1); Scaptius (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,disputed,"cum ego in edicto translaticio centesimas me observaturum haberem cum anatocismo anniversario, ille ex syngrapha postulabat quaternas ... illos putare talenta cc se debere ... vos quantum debetis? respondent cvi ... Salaminios ... totum nomen Scaptio vellent solvere sed centesimis ductis ... Quaternas habebat in syngrapha ... faenus quaternis centesimis ducant",repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-009,SEC-STAGED-0040,Cic. Flacc. 46-50,Other/private credit: Cic. Flacc. 46-50,59,Heraclides (1),C. Fufius (1); M. Fufius (1),Hermippus (1),surety,5,high_refinancing_or_repayment_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; new_borrowing_or_versura; surety_or_security,overdue,"pecuniam sumpsit mutuam a Sex. Stloga ... Ei cum solveret, sumpsit a C. M. Fufiis ... Eius enim fide sumpsit a Fufiis.",refinancing/versura signal; repayment-pressure signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-010,SEC-STAGED-0094,Cic. Quinct. 15-20,Other/private credit: Cic. Quinct. 15-20,81,P. Quinctius (1),Scapula heirs (1),Sex. Naevius (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; sale_fallback,owed,Cum aeris alieni aliquantum esset relictum ... pecuniam Romae curari oporteret ... Cum pecuniam C. Quinctius P. Scapulae debuisset ... quid liberis eius dissolveret.,repayment-pressure signal; third-party/context dependency
O4-CHAIN-011,SEC-STAGED-0058,Fam. 13.56,Other/private credit: Fam. 13.56,51,Philocles (1),Cluvius (1),Cluvius procurators (1); Minucius Thermus (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation,owed,Mylasei et Alabandei pecuniam Cluvio debent ... ecdici ... pecuniam exegerunt,repayment-pressure signal; third-party/context dependency
O4-CHAIN-011,SEC-STAGED-0078,Fam. 13.56,Other/private credit: Fam. 13.56,51,Mylasa and Alabanda (1),Cluvius (1),procuratores (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation,owed,Mylasei et Alabandei pecuniam Cluvio debent ... ecdici ... pecuniam exegerunt,repayment-pressure signal; third-party/context dependency
O4-CHAIN-012,SEC-STAGED-0015,Nep. Att. 2.4,Other/private credit: Nep. Att. 2.4,,Athens (1),Atticus (1),,refinancing/versura,3,moderate_pressure,new_borrowing_or_versura,advanced,"Cum enim versuram facere publice necesse esset ... semper se interposuit atque ita, ut neque usuram umquam ab iis acceperit neque longius, quam dictum esset, debere passus sit.",refinancing/versura signal
O4-CHAIN-013,SEC-STAGED-0008,Nep. Att. 9.4-5,Other/private credit: Nep. Att. 9.4-5,43,Fulvia (1),Atticus (1),Marc Antony (1),refinancing/versura,4,high_refinancing_or_repayment_pressure,friend_or_agent_intermediation; new_borrowing_or_versura; surety_or_security,advanced,"Ipsi autem Fulviae ... nullum illa stiterit vadimonium sine Attico, sponsor omnium rerum fuerit. Quin etiam ... ille se interposuit pecuniamque sine faenore sineque ulla stipulatione credidit.",refinancing/versura signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-014,ATT-PILOT-0003,Att. 5.1; Att. 5.4-5.6,Philotimus/Philogenes accounts,49,Cicero (1),Oppius (1),Atticus (1); Philotimus (1),refinancing/versura,4,high_refinancing_or_repayment_pressure,friend_or_agent_intermediation; new_borrowing_or_versura; surety_or_security,requested,de satis dando... satisdationes secundum mancipium; de Oppio... DCCC aperuisti; vel versura facta solvi volo; explicatum sit illud HS x_x_ et d_c_c_c_; de Caesaris nomine rogare ut confectum relinquas,refinancing/versura signal; surety/guarantee pressure signal; third-party/context dependency; normalized amount available
O4-CHAIN-014,ATT-PILOT-0020,Att. 7.3,Philotimus/Philogenes accounts,50,Philotimus (1),Cicero (1),Atticus (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,disputed,"id reliquum... id si praestaret, quantum mihi aeris alieni esse tibi edidit tantum et plus etiam mihi ipse deberet",repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-014,ATT-PILOT-0022,Att. 10.15,Philotimus/Philogenes accounts,49,Funisulanus (1),Cicero (1),Eros (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,promised,adhuc non satis faciebat; debet autem mihi multos nummos nec habetur locuples. nunc ait se daturum,account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-014,ATT-PILOT-0031,Att. 6.1,Philotimus/Philogenes accounts,50,Philotimus (1),Cicero (1),Camillus (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,overdue,quod de Philotimo et de solutione HS XXDC scribis... at mi ab eo nihil adhuc. reliqua mea Camillus scribit se accepisse,repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency; normalized amount available
O4-CHAIN-015,ATT-PILOT-0005,Att. 7.18; Att. 10.15; Att. 16.16c,Quintus debt thread,49,Quintus Cicero (1),Egnatius (1),Atticus (1); Cicero (1); L. Ligus (1); Pomponia (1); Q. Axius (1),refinancing/versura,5,high_refinancing_or_repayment_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; new_borrowing_or_versura,overdue,nec domi nummos Quintus habeat aut exigere ab Egnatio aut versuram usquam facere possit,refinancing/versura signal; repayment-pressure signal; third-party/context dependency
O4-CHAIN-015,QFR-PILOT-0001,Q fr. 1.3,Quintus debt thread,58,Quintus Cicero (1),Caepio (1); M. Antonius (1),Cicero (1),surety,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation; surety_or_security,repaid,cum de visceribus tuis et filii tui satisfacturus sis quibus debes... et inde Antonio... et Caepioni tantundem solutum est,account/nomina liquidity signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-015,QFR-PILOT-0002,Q fr. 2.14,Quintus debt thread,54,Quintus Cicero (1),,,repayment pressure,2,moderate_pressure,collection_from_debtor_or_failed_source,owed,explicationem debitorum tuorum,repayment-pressure signal
O4-CHAIN-015,SEC-STAGED-0045,Att. 15.21,Quintus debt thread,44,Quintus Cicero (1),Atticus (1),Atticus (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation,owed,"narro tibi, Quintus pater exsultat laetitia. scripsit enim filius se idcirco profugere ad Brutum voluisse quod, cum sibi negotium daret Antonius ut eum dictatorem efficeret, praesidium occuparet, id recusasset; recusasse autem se ne patris animum offenderet; ex eo sibi illum hostem. 'tum me' inquit 'conlegi verens ne quid mihi ille iratus tibi noceret. itaque eum placavi. et quidem c_c_c_c_ certa, reliqua in spe.' scribit autem Statius illum cum patre habitare velle (ho...",repayment-pressure signal; third-party/context dependency; normalized amount available
O4-CHAIN-016,ATT-PILOT-0026,Att. 12.51,Silius/Faberius garden-finance thread,45,Cicero (1),Caerellia (1),Faberius (1); Meton (1); Tiro (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,owed,"de Caerellia quid tibi placeret Tiro mihi narravit; debere non esse dignitatis meae... sustinenda tamen, si tibi videbitur, solutio est nominis Caerelliani",account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-016,SEC-STAGED-0030,Att. 13.3,Silius/Faberius garden-finance thread,45,Cicero (1),Scapula estate (1),,account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; collection_from_debtor_or_failed_source; surety_or_security,unclear,ego vero ista nomina sic probo ut nihil aliud me moveat nisi quod tu videris dubitare ... magis te id facere diligentia qua semper uteris quam quod dubites de nominibus,account/nomina liquidity signal; surety/guarantee pressure signal
O4-CHAIN-016,SEC-STAGED-0055,Fam. 13.61,Silius/Faberius garden-finance thread,51,Nicaea (1),young T. Pinnius (1),Cicero (1); Silius (1),repayment pressure,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation,owed,"T. Pinnio familiarissime me usum esse scire te arbitror, quod quidem ille testamento declaravit, qui me quum tutorem, tum etiam secundum heredem instituerit. Eius filio mei mire studioso et erudito et modesto pecuniam Nicaeenses grandem debent, ad sestertium octogies, et, ut audio, in primis ei volunt solvere. Pergratum igitur mihi feceris, quoniam non modo reliqui tutores, qui sciunt, quanti me facias, sed etiam puer ipse sibi persuasit te omnia mea causa facturum esse, si dederis operam, quoad tua fide...",repayment-pressure signal; third-party/context dependency; normalized amount available
O4-CHAIN-016,SEC-STAGED-0061,Fam. 13.65,Silius/Faberius garden-finance thread,51,Cicero (1),Cicero (1),Balbus (1); Oppius (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,unclear,"Cum P. Terentio Hispone, qui operas in scriptura pro magistro dat, mihi summa familiaritas consuetudoque est, multaque et magna inter nos officia paria et mutua intercedunt: eius summa existimatio agitur in eo, ut pactiones cum civitatibus reliquis conficiat. Non me praeterit nos eam rem Ephesi expertos esse neque ab Ephesiis ullo modo impetrare potuisse; sed, quoniam, quemadmodum omnes existimant et ego intelligo, tua quum summa integritate, tum sing...",account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-017,ATT-PILOT-0006,Att. 8.6,Tiro/domestic accounts,49,Tiro (1),Curius (1),Atticus (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,advanced,Tironem nostrum in sumptum ab aliis mutuatum; ego autem Curium nostrum si quid opus esset rogaram,account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-017,ATT-PILOT-0013,Att. 15.15,Tiro/domestic accounts,44,Cicero (1),,Tiro (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,requested,cogor mutuari,account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-017,ATT-PILOT-0014,Att. 15.20,Tiro/domestic accounts,44,Cicero (1),,Tiro (1),refinancing/versura,4,high_refinancing_or_repayment_pressure,friend_or_agent_intermediation; new_borrowing_or_versura,requested,"versuram scribis esse faciendam mensum quinque, id est ad Kal. Nov., HS CC",refinancing/versura signal; third-party/context dependency; normalized amount available
O4-CHAIN-017,ATT-PILOT-0018,Att. 16.15,Tiro/domestic accounts,44,L. Tullius Montanus (1),,Terentia (1),refinancing/versura,5,high_refinancing_or_repayment_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; new_borrowing_or_versura; surety_or_security,owed,Montani nomine HS XXV dissolvere; iniquissimo faenore versuram facere Aurelius coactus est,refinancing/versura signal; repayment-pressure signal; surety/guarantee pressure signal; third-party/context dependency; normalized amount available
O4-CHAIN-017,FAM-PILOT-0004,Fam. 16.24,Tiro/domestic accounts,44,Cicero (1),Aurelius (1); Ofillius (1),Tiro (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,owed,rationes nostras explicares. Ofillio et Aurelio utique satisfiat,account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-017,FAM-PILOT-0005,Fam. 16.24,Tiro/domestic accounts,44,Flaminius (1),Cicero (1),Tiro (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,overdue,"a Flamma, si non potes omne, partem aliquam velim extorqueas, in primisque, ut expedita sit pensio K. Ian.",repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-017,SEC-STAGED-0027,Fam. 16.9,Tiro/domestic accounts,,Tiro (1),Curius (1),Curius (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,requested,"sumptu ne parcas ... scripsi ad Curium, quod dixisses, daret; medico ipsi puto aliquid dandum esse",account/nomina liquidity signal; third-party/context dependency
