exposure_group_id,record_id,source_citation,year_bce,calculation_window,membership_role,amount_role,timing_role,party_role,graph_role,scope_role,stock_class,contributes_to_amount_pool,calibration_fold_eligible,contributes_to_o5_t4,contributes_to_o5_t5_seed,contributes_to_o5_t5_candidate_basis,contributes_to_o5_t5_candidate_endpoint,contributes_to_o56,contributes_to_strict_graph,contributes_to_strict_stock,contributes_to_o6_actor_universe,decision_authority,decision_reason
EG-CLEAN-0013,ATT-PILOT-0016,Att. 16.3,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,strict_private,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0012,ATT-PILOT-0017,Att. 16.6,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0118,ATT-PILOT-0018,Att. 16.15,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0064,ATT-PILOT-0019,Att. 5.15,51,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0088,ATT-PILOT-0020,Att. 7.3,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0067,ATT-PILOT-0021,Att. 7.8,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0032,ATT-PILOT-0022,Att. 10.15,49,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0015,ATT-PILOT-0023,Att. 11.11,47,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0049,ATT-PILOT-0024,Att. 11.16,47,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0028,ATT-PILOT-0025,Att. 12.14,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0009,ATT-PILOT-0026,Att. 12.51,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0035,ATT-PILOT-0027,Att. 12.52,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,candidate_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0030,ATT-PILOT-0028,Att. 14.18-14.20,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0014,ATT-PILOT-0029,Att. 16.2,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
O5EG-0015,ATT-PILOT-0030,Att. 16.2,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0070,FAM-PILOT-0001,Fam. 5.6,57,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0004,FAM-PILOT-0002,Fam. 7.23,46,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0033,FAM-PILOT-0003,Fam. 13.28a,46,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0036,FAM-PILOT-0004,Fam. 16.24,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0031,FAM-PILOT-0005,Fam. 16.24,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0095,QFR-PILOT-0001,Q fr. 1.3,58,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0096,QFR-PILOT-0002,Q fr. 2.14,54,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0088,ATT-PILOT-0031,Att. 6.1,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0087,ATT-PILOT-0032,Att. 6.5,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0086,ATT-PILOT-0033,Att. 7.7,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0023,ATT-PILOT-0034,Att. 11.1,48,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
O5EG-0015,ATT-PILOT-0035,Att. 16.6,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0022,ATT-PILOT-0036,Att. 16.6,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,yes,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0029,ATT-PILOT-0037,Att. 16.15,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,excluded_scope,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,explicit_revision5_exclusion
EG-CLEAN-0003,FAM-PILOT-0006,Fam. 14.6,48,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0063,SEC-STAGED-0002,Cic. Fam. 5.5.2,61,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0062,SEC-STAGED-0006,Cic. Att. 4.3.6,57,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0107,SEC-STAGED-0008,Nep. Att. 9.4-5,43,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0059,SEC-STAGED-0009,Cic. Cael. 31,56,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0039,SEC-STAGED-0010,Cic. Att. 13.10.3; Cic. Fam. 4.12.2,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,strict_private,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0111,SEC-STAGED-0011,Hor. Epist. 1.7.80-81,20,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0069,SEC-STAGED-0012,Gell. 12.12; Cic. Att. 1.13.3,61,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0080,SEC-STAGED-0013,Cic. Att. 1.13.3,61,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0055,SEC-STAGED-0015,Nep. Att. 2.4,65,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0089,SEC-STAGED-0018,Cic. Rab. Post. 5; Rab. Post. 39,54,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0078,SEC-STAGED-0019,Cic. Att. 6.2.3,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0099,SEC-STAGED-0020,Cic. Att. 5.21.10-13; Att. 6.1.5-8; Att. 6.2.7-9; Att. 6.3.5; Cic. Att. 6.1.6,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0052,SEC-STAGED-0025,Cic. Att. 12.24.1 and related Att. 12-16 references,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,strict_private,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
,SEC-STAGED-0027,Cic. Fam. 16.9.3,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0019,SEC-STAGED-0030,Cic. Att. 13.3.1,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,strict_private,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0084,SEC-STAGED-0032,Cic. Att. 5.21.14; Fam. 5.20.3-4,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0037,SEC-STAGED-0036,Cic. Phil. 2.44-46,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,excluded_scope,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,political_or_context_obligation
EG-CLEAN-0047,SEC-STAGED-0038,Cic. Att. 12.18.3; Att. 12.19.2,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0075,SEC-STAGED-0040,Cic. Flacc. 46-50,59,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0041,SEC-STAGED-0042,Cic. Fam. 6.18.3; Val. Max. 6.2.11,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,candidate_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0104,SEC-STAGED-0044,Cic. Fam. 11.10.5,43,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0053,SEC-STAGED-0045,Cic. Att. 13.42.1; Att. 15.21.1; Att. 15.26.1; Att. 16.1.6,44,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,not_seed,excluded_scope,excluded_or_context,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,political_or_context_obligation
EG-CLEAN-0091,SEC-STAGED-0047,Cic. Q fr. 2.2.1-2,56,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0093,SEC-STAGED-0048,Cic. Q fr. 2.15b.2-3; Q fr. 2.6.4; Q fr. 2.3.1; Att. 4.7.3,56,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0027,SEC-STAGED-0053,Cic. Fam. 9.4; Att. 13.2; Att. 13.18.3; Att. 13.19.2,45,45-44 BCE,member,group_amount_evidence,strict_anchor,borrower_lender_and_named_third_parties,raw_seed_member,strict_private,active_stock,pending_group_amount,pending_group_amount,yes,yes,yes,occurrence_specific,no,yes,yes,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0082,SEC-STAGED-0055,Cic. Fam. 13.61,51,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0100,SEC-STAGED-0056,Cic. Fam. 13.55; Fam. 13.57,51,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0038,SEC-STAGED-0057,Cic. Fam. 13.14,46,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0085,SEC-STAGED-0058,Cic. Fam. 13.56.2-3,51,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0073,SEC-STAGED-0061,Cic. Fam. 13.65.1,51,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0077,SEC-STAGED-0062,Cic. Fam. 13.56; Cic. Att. 6.2.3 and related Atticus references,50,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0001,SEC-STAGED-0064,Cic. Fam. 13.29.8; Att. 16.16c,46,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,strict_private,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,strict_private_or_household_scope
EG-CLEAN-0071,SEC-STAGED-0065,Cic. Fam. 13.41; Fam. 13.42,59,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
EG-CLEAN-0072,SEC-STAGED-0066,Cic. Fam. 5.5; Att. 2.1.12,60,outside_45_44,member,group_amount_evidence,context,borrower_lender_and_named_third_parties,not_seed,excluded_scope,outside_strict_window,pending_group_amount,pending_group_amount,no,no,no,occurrence_specific,no,no,no,occurrence_specific,revision5_plan_plus_repaired_review_mapping,public_or_context_scope
