record_id,source_layer,source_citation,date,year_bce,calculation_window,borrower_raw,lender_raw,borrower_key,lender_key,third_parties,status,loan_type,confidence,amount_raw,currency_or_unit,core_eligibility,verification_status,primary_source_verified,exposure_group_id,exposure_group_key,provisional_scope,provisional_stock_role,stock_counting_rule,amount_rule,decision_status,review_flags,method_notes
ATT-PILOT-0012,canonical_core,Att. 12.25,Scr. Asturae xi K. Apr. a. 709 (45) [45 BCE],45,49-44 BCE,Cicero,Silius; Faberius' debtor,cicero,silius faberius debtor,Hermogenes,requested,credit arrangement,high,600000; 600000,HS,,latin_controlled_reviewed,,EG-CLEAN-0020,49-44 BCE|cicero|silius faberius debtor,cicero_household_or_direct_review,demand_signal_review,manual_review_required,observed_amount_needs_amount_table_join,provisional_rule_based_needs_review,multiple_party_label,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0013,canonical_core,Att. 15.15,Scr. Antiati Id. Iun. a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,unspecified lender,cicero,unspecified lender,Tiro,requested,personal loan,high,,,,latin_controlled_reviewed,,EG-CLEAN-0024,49-44 BCE|cicero|unspecified lender,cicero_household_or_direct_review,demand_signal_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0014,canonical_core,Att. 15.20,Scr. in Tusculano inter xv et xi K. Quint. a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,unspecified refinancing source,cicero,unspecified refinancing source,Tiro,requested,credit arrangement,high,200000,HS,,latin_controlled_reviewed,,EG-CLEAN-0025,49-44 BCE|cicero|unspecified refinancing source,cicero_household_or_direct_review,demand_signal_review,manual_review_required,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0016,canonical_core,Att. 16.3,Scr. in Pompeiano xvi K Sext. a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Dolabella and assigned debtors,cicero,dolabella and assigned debtors,Balbus,unclear,credit arrangement,medium,,,,latin_controlled_reviewed,,EG-CLEAN-0013,49-44 BCE|cicero|dolabella and assigned debtors,cicero_household_or_direct_review,ambiguous_or_context_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0017,canonical_core,Att. 16.6,Scr. Vibone viii K Sext a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Cluvian coheirs,cicero,cluvian coheirs,Cluvian estate; Atticus as manager,owed,debt repayment,high,,,,latin_controlled_reviewed,,EG-CLEAN-0012,49-44 BCE|cicero|cluvian coheirs,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0018,canonical_core,Att. 16.15,Scr. in Arpinati ante v Id. Dec. a. 710 (44) [44 BCE],44,49-44 BCE,L. Tullius Montanus,unknown creditor,l tullius montanus,unknown creditor,Terentia,owed,credit arrangement,high,25000,HS,,latin_controlled_reviewed,,EG-CLEAN-0118,49-44 BCE|l tullius montanus|unknown creditor,private_or_unclear_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,human_reviewed_separate_exposure,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.; Kept separate from Att. 12.52 by 2026-07-13 human review.
ATT-PILOT-0019,canonical_core,Att. 5.15,Scr. Laodiceae iii Non. Sext. a. 703 (51) [51 BCE],51,65-50 BCE,Cicero,Atticus for prior exchange/remittance arrangement; future versura lender unspecified,cicero,atticus for prior exchange remittance arrangement future versura lender unspecified,,unclear,credit arrangement,medium,,,,latin_controlled_reviewed,,EG-CLEAN-0064,65-50 BCE|cicero|atticus for prior exchange remittance arrangement future versura lender unspecified,cicero_household_or_direct_review,ambiguous_or_context_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0020,canonical_core,Att. 7.3,Scr. Formiis prid. Non. Dec. a. 704 (50) [50 BCE],50,65-50 BCE,Philotimus,Cicero,philotimus,cicero,Atticus,disputed,debt repayment,medium,uncertain,unspecified,,latin_controlled_reviewed,,EG-CLEAN-0088,65-50 BCE|philotimus|cicero,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0021,canonical_core,Att. 7.8,Scr. Formiis vi aut v K. Ian. a. 704 (50) [50 BCE],50,65-50 BCE,Cicero,Caesar,cicero,caesar,,owed,debt repayment,medium,uncertain,nummi,,latin_controlled_reviewed,,EG-CLEAN-0067,65-50 BCE|cicero|caesar,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0022,canonical_core,Att. 10.15,Scr. Cumanis vi Id. Mai. a. 705 (49) [49 BCE],49,49-44 BCE,Funisulanus,Cicero,funisulanus,cicero,Eros Philotimi,promised,debt repayment,high,multos nummos,nummi,,latin_controlled_reviewed,,EG-CLEAN-0032,49-44 BCE|funisulanus|cicero,cicero_household_or_direct_review,demand_signal_review,manual_review_required,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0023,canonical_core,Att. 11.11,Scr. viii Idus Mart. a. 706 (48) [47 BCE],47,49-44 BCE,Cicero,P. Sallustius,cicero,p sallustius,Cn. Sallustius; Terentia,owed,debt repayment,medium,HS XXX,sestertii,,latin_controlled_reviewed,,EG-CLEAN-0015,49-44 BCE|cicero|p sallustius,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0024,canonical_core,Att. 11.16,Scr. iii Non. Iun. a. 706 (48) [47 BCE],47,49-44 BCE,Terentia,unspecified persons to whom she owes,terentia,unspecified persons to whom she owes,Camillus; Atticus,owed,debt repayment,medium,unknown,money/property obligations,,latin_controlled_reviewed,,EG-CLEAN-0049,49-44 BCE|terentia|unspecified persons to whom she owes,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0025,canonical_core,Att. 12.14,Scr. Asturae viii Id. Mart. a. 709 (45) [45 BCE],45,49-44 BCE,"Cornificius, father or son",Iunius or party represented by Iunius,cornificius father or son,iunius or party represented by iunius,Cicero as alleged sponsor; Appuleius as praediator; Cornificius' procurators,disputed,surety/guarantee,medium,unknown,money/security,,latin_controlled_reviewed,,EG-CLEAN-0028,49-44 BCE|cornificius father or son|iunius or party represented by iunius,private_or_unclear_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0026,canonical_core,Att. 12.51,Scr. in Tusculano xiii K. Iun. a. 709 (45) [45 BCE],45,49-44 BCE,Cicero,Caerellia,cicero,caerellia,Tiro; Meton; Faberius,owed,debt repayment,high,unknown,nomen/debt account,,latin_controlled_reviewed,,EG-CLEAN-0009,49-44 BCE|cicero|caerellia,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0027,canonical_core,Att. 12.52,Scr. in Tusculano xii K. Iun. a. 709 (45) [45 BCE],45,49-44 BCE,L. Tullius Montanus,Plancus,l tullius montanus,plancus,"Flaminius, for whom Montanus is surety",guaranteed,surety/guarantee,high,HS XX,sestertii,,latin_controlled_reviewed,,EG-CLEAN-0035,49-44 BCE|l tullius montanus|plancus,private_or_unclear_review,contingent_exposure_review,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0028,canonical_core,Att. 14.18-14.20,vii Id. Mai. a. 710 (44) [44 BCE],44,49-44 BCE,Dolabella,Cicero,dolabella,cicero,Faberius,overdue,debt repayment,high,,,,latin_controlled_reviewed,,EG-CLEAN-0030,49-44 BCE|dolabella|cicero,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0029,canonical_core,Att. 16.2,v Id. Quint. a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Hortensius,cicero,hortensius,Eros,owed,debt repayment,high,,,,latin_controlled_reviewed,,EG-CLEAN-0014,49-44 BCE|cicero|hortensius,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0030,canonical_core,Att. 16.2,v Id. Quint. a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Publilius,cicero,publilius,,owed,debt repayment,high,400000 residual; 200000 paid,HS,,latin_controlled_reviewed,,EG-CLEAN-0018,49-44 BCE|cicero|publilius,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0001,canonical_core,Fam. 5.6,Scr. Romae a.u.c. 697 [57 BCE],57,65-50 BCE,Cicero,Crassus,cicero,crassus,,owed,personal loan,high,HS XXXV,sestertii,,latin_controlled_reviewed,,EG-CLEAN-0070,65-50 BCE|cicero|crassus,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0002,canonical_core,Fam. 7.23,Scr. in Arpinati a.u.c. 708 [46 BCE],46,49-44 BCE,Cicero or Cicero's agent,Avianius,cicero or cicero s agent,avianius,,promised,credit arrangement,high,plus annua,unspecified,,latin_controlled_reviewed,,EG-CLEAN-0004,49-44 BCE|cicero or cicero s agent|avianius,cicero_household_or_direct_review,demand_signal_review,manual_review_required,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0003,canonical_core,Fam. 13.28a,Scr. Romae a.u.c. 708 [46 BCE],46,49-44 BCE,L. Mescinius,unspecified creditor,l mescinius,unspecified creditor,Cicero as guarantor,guaranteed,surety/guarantee,medium,unspecified,unspecified,,latin_controlled_reviewed,,EG-CLEAN-0033,49-44 BCE|l mescinius|unspecified creditor,private_or_unclear_review,contingent_exposure_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0004,canonical_core,Fam. 16.24,Scr. mense Maio a.u.c. 710 [44 BCE],44,49-44 BCE,M. Cicero / Cicero's household accounts,Ofillius and Aurelius,m cicero cicero s household accounts,ofillius and aurelius,Tiro as agent,owed,debt repayment,high,unspecified,unspecified,,latin_controlled_reviewed,,EG-CLEAN-0036,49-44 BCE|m cicero cicero s household accounts|ofillius and aurelius,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0005,canonical_core,Fam. 16.24,Scr. mense Maio a.u.c. 710 [44 BCE],44,49-44 BCE,Flamma / Flaminius Flamma,M. Cicero / Cicero's household accounts,flamma flaminius flamma,m cicero cicero s household accounts,Tiro as collection agent,overdue,debt repayment,high,unspecified,unspecified,,latin_controlled_reviewed,,EG-CLEAN-0031,49-44 BCE|flamma flaminius flamma|m cicero cicero s household accounts,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
QFR-PILOT-0001,canonical_core,Q fr. 1.3,Scr. Thessalonicae Idibus Iuniis a.u.c. 696 [58 BCE],58,65-50 BCE,Quintus Tullius Cicero and Quintus's son,Unnamed creditors; M. Antonius; Caepio,quintus tullius cicero and quintus s son,unnamed creditors m antonius caepio,Marcus Tullius Cicero as payer/intermediary,repaid,debt repayment,high,,,,latin_controlled_reviewed,,EG-CLEAN-0095,65-50 BCE|quintus tullius cicero and quintus s son|unnamed creditors m antonius caepio,cicero_household_or_direct_review,closed_or_transfer_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
QFR-PILOT-0002,canonical_core,Q fr. 2.14,Scr. Romae mense Quinctili a.u.c. 700 [54 BCE],54,65-50 BCE,Quintus Tullius Cicero,Unspecified creditors,quintus tullius cicero,unspecified creditors,,owed,debt repayment,medium,,,,latin_controlled_reviewed,,EG-CLEAN-0096,65-50 BCE|quintus tullius cicero|unspecified creditors,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0031,canonical_core,Att. 6.1,Scr. Laodiceae vi K. Mai. a. 704 (50) [50 BCE],50,65-50 BCE,Philotimus,Cicero,philotimus,cicero,Camillus,overdue,debt repayment,medium,HS XXDC,HS,,latin_controlled_reviewed,,EG-CLEAN-0088,65-50 BCE|philotimus|cicero,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0032,canonical_core,Att. 6.5,Scr. Laodiceae v K. Quint. a. 704 (50) [50 BCE],50,65-50 BCE,Terentia's freedman,Camillus,terentia s freedman,camillus,,owed,debt repayment,medium,multiple mina amounts,minae/accounts,,latin_controlled_reviewed,,EG-CLEAN-0087,65-50 BCE|terentia s freedman|camillus,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based_needs_review,multiple_party_label,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0033,canonical_core,Att. 7.7,Scr. Formiis prid. Non. Ian. a. 705 (49) [50 BCE],50,65-50 BCE,Philogenes,Cicero,philogenes,cicero,,advanced,credit arrangement,medium,,pecunia,,latin_controlled_reviewed,,EG-CLEAN-0086,65-50 BCE|philogenes|cicero,cicero_household_or_direct_review,possible_active_or_flow_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0034,canonical_core,Att. 11.1,Scr. in Epiro inter Non. et Id. Ian. a. 706 (48) [48 BCE],48,49-44 BCE,Cicero,unnamed creditor known to Atticus,cicero,unnamed creditor known to atticus,Atticus as remittance/credit manager,owed,credit arrangement,medium,ad sestertium bis et viciens,sestertii / cistophori,,latin_controlled_reviewed,,EG-CLEAN-0023,49-44 BCE|cicero|unnamed creditor known to atticus,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0035,canonical_core,Att. 16.6,Scr. Vibone viii K Sext a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Publilius,cicero,publilius,Atticus as manager,owed,debt repayment,high,,,,latin_controlled_reviewed,,EG-CLEAN-0018,49-44 BCE|cicero|publilius,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0036,canonical_core,Att. 16.6,Scr. Vibone viii K Sext a. 710 (44) [44 BCE],44,49-44 BCE,Cicero,Terentia or party secured through Terentia,cicero,terentia or party secured through terentia,Atticus as manager,owed,surety/guarantee,high,,,,latin_controlled_reviewed,,EG-CLEAN-0022,49-44 BCE|cicero|terentia or party secured through terentia,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0037,canonical_core,Att. 16.15,Scr. in Arpinati ante v Id. Dec. a. 710 (44) [44 BCE],44,49-44 BCE,Dolabella or his estate/procurators,Cicero,dolabella or his estate procurators,cicero,sponsores; procurator; Atticus,disputed,surety/guarantee,medium,summa unspecified,,,latin_controlled_reviewed,,EG-CLEAN-0029,49-44 BCE|dolabella or his estate procurators|cicero,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
FAM-PILOT-0006,canonical_core,Fam. 14.6,"Dyrrachium, Ides of July, a.u.c. 706 (48 BCE) [48 BCE]",48,49-44 BCE,Cicero / Cicero household,unnamed payee known to Terentia and Tullia,cicero cicero household,unnamed payee known to terentia and tullia,Terentia; Tullia; failed property sale,owed,ambiguous financial obligation,low,,,,latin_controlled_reviewed,,EG-CLEAN-0003,49-44 BCE|cicero cicero household|unnamed payee known to terentia and tullia,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,low_confidence;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
VRB-STAGED-0002,secondary_source_records,Cic. Fam. 5.5.2,Scr. Romae a.u.c [61 BCE],61,65-50 BCE,Cicero,Titus Pomponius,cicero,titus pomponius,,unclear,ambiguous financial obligation,low,unspecified,,context_only,verboven_only,latin_checked_no_discrete_loan,EG-CLEAN-0063,65-50 BCE|cicero|titus pomponius,cicero_household_or_direct_review,ambiguous_or_context_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,low_confidence;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
VRB-STAGED-0006,secondary_source_records,Cic. Att. 4.3.6,Scr. Romae vi K. Dec. a [57 BCE],57,65-50 BCE,Cicero,amici,cicero,amici,Quintus Cicero,unclear,ambiguous financial obligation,low,unspecified,,context_only,verboven_only,latin_checked_no_discrete_loan,EG-CLEAN-0062,65-50 BCE|cicero|amici,cicero_household_or_direct_review,ambiguous_or_context_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,low_confidence;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
VRB-STAGED-0008,secondary_source_records,Nep. Att. 9.4-5,"Mutina period, after Antony was declared hostis; Nep. Att. 9.4-5 [43 BCE]",43,outside_current_windows,Fulvia,Atticus,fulvia,atticus,Marc Antony,advanced,personal loan,high,unspecified,,out_of_scope_non_letter,verboven_only,online_latin_checked,EG-CLEAN-0107,outside_current_windows|fulvia|atticus,public_or_context_review,excluded_scope_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,missing_amount;scope_review;window_review,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
VRB-STAGED-0009,secondary_source_records,Cic. Cael. 31,56 BCE; Pro Caelio [56 BCE],56,65-50 BCE,Caelius Rufus,Clodia,caelius rufus,clodia,,advanced,personal loan,high,unspecified,gold or money,out_of_scope_non_letter,verboven_only,online_latin_checked,EG-CLEAN-0059,65-50 BCE|caelius rufus|clodia,private_or_unclear_review,possible_active_or_flow_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
VRB-STAGED-0010,secondary_source_records,Cic. Att. 13.10.3; Cic. Fam. 4.12.2,Scr. in Tusculano inter a. d. xiiii et xi K [45 BCE],45,49-44 BCE,P. Magius Chilo,unclear expected from Marcellus,p magius chilo,unclear expected from marcellus,Cicero as surety,unclear,ambiguous financial obligation,low,unspecified,,context_only,verboven_only,latin_checked_no_discrete_loan,EG-CLEAN-0039,49-44 BCE|p magius chilo|unclear expected from marcellus,private_or_unclear_review,ambiguous_or_context_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,lender_unclear;low_confidence;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
